,num,title,date,status,stream,area,wg,area2,key words
250,8381,Transparent Interconnection of Lots of Links (TRILL): Vendor-Specific RBridge Channel Protocol, May 2018 , PROPOSED STANDARD, IETF, rtg, trill,,
251,8380,Directory-Assisted Transparent Interconnection of Lots of Links (TRILL) Encapsulation, May 2018 , PROPOSED STANDARD, IETF, rtg, trill,,
252,8379,OSPF Graceful Link Shutdown, May 2018 , PROPOSED STANDARD, IETF, rtg, ospf,"MPLS, OSPF","MPLS, IGP, OSPF, MPLS, IGP, OSPF"
253,8378,Signal-Free Locator/ID Separation Protocol (LISP) Multicast, May 2018 , EXPERIMENTAL, IETF, rtg, lisp,,
254,8377,Transparent Interconnection of Lots of Links (TRILL): Multi-Topology, July 2018 , PROPOSED STANDARD, IETF, rtg, trill,,
255,8376,Low-Power Wide Area Network (LPWAN) Overview, May 2018 , INFORMATIONAL, IETF, int, lpwan,,
256,8375,Special-Use Domain 'home.arpa.', May 2018 , PROPOSED STANDARD, IETF, int, homenet,,
257,8374,BGPsec Design Choices and Summary of Supporting Discussions, April 2018 , INFORMATIONAL, INDEPENDENT,null,null,BGP,Internet Routing Security
258,8373,Negotiating Human Language in Real-Time Communications, May 2018 , PROPOSED STANDARD, IETF, art, slim,"SDP, SIP","SDP, language, human language, SIP, SLIM, SDP, language, human language, SIP, SLIM"
259,8372,MPLS Flow Identification Considerations, May 2018 , INFORMATIONAL, IETF, rtg, mpls,MPLS,"OAM, performance monitoring, flow identification"
260,8371,Mobile Node Identifier Types for MIPv6, July 2018 , PROPOSED STANDARD, IETF, int, dmm,"IPv6, MIPv6","Mobility, IPv6, Authentication, Mobility, IPv6, Authentication"
261,8370,Techniques to Improve the Scalability of RSVP-TE Deployments, May 2018 , PROPOSED STANDARD, IETF, rtg, teas,RSVP-TE,"RSVP-TE Scaling, RI-RSVP, Per-Peer Flow Control"
262,8369,Internationalizing IPv6 Using 128-Bit Unicode, 1 April 2018 , INFORMATIONAL, INDEPENDENT,null,null,IPv6,
263,8368,"Using an Autonomic Control Plane for Stable Connectivity of Network Operations, Administration, and Maintenance (OAM)", May 2018 , INFORMATIONAL, IETF, ops, anima,,
264,8367,Wrongful Termination of Internet Protocol (IP) Packets, 1 April 2018 , INFORMATIONAL, INDEPENDENT,null,null,,
265,8366,A Voucher Artifact for Bootstrapping Protocols, May 2018 , PROPOSED STANDARD, IETF, ops, anima,,
266,8365,A Network Virtualization Overlay Solution Using Ethernet VPN (EVPN), March 2018 , PROPOSED STANDARD, IETF, rtg, bess,,
267,8364,PIM Flooding Mechanism (PFM) and Source Discovery (SD), March 2018 , EXPERIMENTAL, IETF, rtg, pim,PIM,Multicast
268,8363,GMPLS OSPF-TE Extensions in Support of Flexi-Grid Dense Wavelength Division Multiplexing (DWDM) Networks, May 2018 , PROPOSED STANDARD, IETF, rtg, ccamp,"MPLS, OSPF","flexi-grid, OSPF-TE, central frequency, frequency slot, channel spacing, flexi-grid, OSPF-TE, central frequency, frequency slot, channel spacing"
269,8362,OSPFv3 Link State Advertisement (LSA) Extensibility, April 2018 , PROPOSED STANDARD, IETF, rtg, ospf,OSPF,
270,8361,"Transparent Interconnection of Lots of Links (TRILL): Centralized Replication for Active-Active Broadcast, Unknown Unicast, and Multicast (BUM) Traffic", April 2018 , PROPOSED STANDARD, IETF, rtg, trill,,
271,8360,Resource Public Key Infrastructure (RPKI) Validation Reconsidered, April 2018 , PROPOSED STANDARD, IETF, rtg, sidr,,
272,8359,Network-Assigned Upstream Label, March 2018 , PROPOSED STANDARD, IETF, rtg, teas,,
273,8358,Update to Digital Signatures on Internet-Draft Documents, March 2018 , INFORMATIONAL, IETF,null, NON WORKING GROUP,,
274,8357,Generalized UDP Source Port for DHCP Relay, March 2018 , PROPOSED STANDARD, IETF, int, dhc,,
275,8356,Experimental Codepoint Allocation for the Path Computation Element Communication Protocol (PCEP), March 2018 , PROPOSED STANDARD, IETF, rtg, pce,,
276,8355,Resiliency Use Cases in Source Packet Routing in Networking (SPRING) Networks, March 2018 , INFORMATIONAL, IETF, rtg, spring,,
277,8354,Use Cases for IPv6 Source Packet Routing in Networking (SPRING), March 2018 , INFORMATIONAL, IETF, rtg, spring,IPv6,
278,8353,Generic Security Service API Version 2: Java Bindings Update, May 2018 , PROPOSED STANDARD, IETF, sec, kitten,,
279,8352,Energy-Efficient Features of Internet of Things Protocols, April 2018 , INFORMATIONAL, IETF, int, lwig,,
280,8351,The PKCS #8 EncryptedPrivateKeyInfo Media Type, June 2018 , INFORMATIONAL, INDEPENDENT,null,null,,
281,8350,Alternate Tunnel Encapsulation for Data Frames in Control and Provisioning of Wireless Access Points (CAPWAP), April 2018 , EXPERIMENTAL, IETF, ops, opsawg,CAPWAP,"Wi-Fi, WLAN, PMIP, GRE"
282,8349,A YANG Data Model for Routing Management (NMDA Version), March 2018 , PROPOSED STANDARD, IETF, ops, netmod,"IPv6, NETCONF, YANG","configuration, IPv6 Router Advertisements, NETCONF, RESTCONF, configuration, IPv6 Router Advertisements, NETCONF, RESTCONF, configuration, IPv6 Router Advertisements, NETCONF, RESTCONF"
283,8348,A YANG Data Model for Hardware Management, March 2018 , PROPOSED STANDARD, IETF, ops, netmod,YANG,ENTITY-MIB
284,8347,A YANG Data Model for the Virtual Router Redundancy Protocol (VRRP), March 2018 , PROPOSED STANDARD, IETF, rtg, rtgwg,"YANG, VRRP","Network Management, Routing, YANG, Network Management, Routing, YANG"
285,8346,A YANG Data Model for Layer 3 Topologies, March 2018 , PROPOSED STANDARD, IETF, rtg, i2rs,YANG,topology
286,8345,A YANG Data Model for Network Topologies, March 2018 , PROPOSED STANDARD, IETF, rtg, i2rs,YANG,topology
287,8344,A YANG Data Model for IP Management, March 2018 , PROPOSED STANDARD, IETF, ops, netmod,YANG,
288,8343,A YANG Data Model for Interface Management, March 2018 , PROPOSED STANDARD, IETF, ops, netmod,YANG,
289,8342,Network Management Datastore Architecture (NMDA), March 2018 , PROPOSED STANDARD, IETF, ops, netmod,"NETCONF, YANG","YANG, NETCONF, RESTCONF, Network Management, YANG, NETCONF, RESTCONF, Network Management"
