,name,mes_count,end,start
906,ipv6mib,4 Messages,1996-02-13,1996-02-15
907,ipvbi,2 Messages,1999-03-23,2000-09-12
908,irtf-mobility-charter,8 Messages,2003-07-25,2003-10-07
909,isis,771 Messages,1999-03-23,2009-02-03
910,isn,280 Messages,1993-04-01,1998-07-18
911,issll,11 Messages,2000-01-24,2007-07-17
912,kink,358 Messages,2006-03-07,2008-01-31
913,l2cp,211 Messages,2006-01-12,2006-06-27
914,l3vpn,3593 Messages,2003-05-27,2015-04-09
915,laminar,1 Messages,2012-07-30,2012-07-30
916,ldapbis,145 Messages,2006-08-18,2008-01-13
917,lime-oam-model,122 Messages,2014-12-12,2015-03-23
918,manet-dlep-rg,384 Messages,2013-08-06,2014-06-30
919,manet-dt,279 Messages,2005-09-27,2007-06-13
920,marid,11 Messages,2006-08-18,2007-10-23
921,media-feature-tags-archive,1 Messages,2008-02-01,2008-02-01
922,messaging,1 Messages,2004-12-11,2004-12-11
923,meta-model,14 Messages,2007-03-28,2007-12-11
924,mhsds,503 Messages,1992-01-17,1995-08-21
925,mhtml,63 Messages,1996-04-30,1997-09-10
926,mimemhs,191 Messages,1992-04-17,1995-07-03
927,mip4,3655 Messages,2003-07-23,2015-08-27
928,mixer,57 Messages,1995-07-06,1997-09-03
929,ml_testlist,2 Messages,2011-04-11,2011-04-25
930,mobileip,122 Messages,1999-08-06,2008-01-31
931,modemmgt,219 Messages,1993-04-15,1997-04-24
932,mpls-tp,5566 Messages,2008-07-16,2011-03-27
933,mpowr,276 Messages,2003-12-10,2005-03-18
934,mpsnmp,82 Messages,1992-03-31,1995-05-10
935,msgway,2 Messages,1995-12-22,1996-02-22
936,mter,19 Messages,2005-12-21,2006-05-24
937,mtudisc,221 Messages,1989-11-15,1995-06-01
938,multi6,8 Messages,2001-07-29,2007-01-14
939,namedroppers,19923 Messages,2002-04-02,2012-07-17
940,nasreq,203 Messages,1992-10-19,2009-05-17
941,nat,335 Messages,1999-02-12,2008-01-16
942,nbs,154 Messages,2010-08-03,2012-05-04
943,ncrg,124 Messages,2012-01-20,2014-06-13
944,netdata,27 Messages,1992-03-11,1994-01-10
945,netfax,289 Messages,1990-10-27,1996-02-15
946,newtrk,1897 Messages,2004-01-28,2011-03-25
947,nir,223 Messages,1992-09-11,1997-05-27
948,njm,63 Messages,1992-02-10,1996-02-16
949,nmlrg,185 Messages,2015-08-21,2016-12-08
950,nntp,830 Messages,1992-01-28,1997-09-22
951,noop,11 Messages,1992-11-06,1993-03-25
952,npp,42 Messages,1992-03-11,1994-02-09
953,nscp,29 Messages,2010-09-14,2010-10-15
954,oda,34 Messages,1992-07-11,1994-03-30
955,opes,506 Messages,2006-03-19,2009-05-14
956,opsarea-chairs,23 Messages,2011-08-15,2014-03-03
957,opstat,209 Messages,1992-02-29,1996-08-06
958,orad,81 Messages,1992-05-08,1998-07-29
959,osids,1838 Messages,1992-01-20,1996-12-03
960,osigen,478 Messages,1992-03-02,1993-04-16
961,ospf-manet,381 Messages,2005-11-21,2007-03-30
962,ospf-wireless-design,292 Messages,2004-06-28,2005-11-23
963,p2prg,1289 Messages,2003-07-09,2013-02-26
964,pcp,4047 Messages,2010-08-03,2017-11-13
965,pem,3978 Messages,1992-01-17,1997-05-21
966,pesci-discuss,248 Messages,2005-09-21,2006-03-23
967,pier,507 Messages,1996-01-03,1998-07-20
968,pilc,411 Messages,2001-11-21,2005-08-08
969,pint,2 Messages,2000-05-05,2006-05-14
970,pip,237 Messages,1992-08-03,1995-02-07
971,pmtud,238 Messages,2003-07-15,2007-04-04
972,poised,762 Messages,1992-09-04,1996-05-01
973,poised95,57 Messages,1995-07-17,1996-07-22
974,policy,473 Messages,2001-08-29,2006-12-06
975,pop3,184 Messages,1994-05-24,1998-07-23
976,prim,2 Messages,2006-04-22,2007-04-20
977,printmib,348 Messages,2006-08-23,2009-09-24
978,problem,117 Messages,2006-08-06,2008-01-13
979,proto-team,285 Messages,2005-07-31,2007-10-03
980,pso-discuss,20 Messages,2000-02-28,2000-08-18
981,pwg,2865 Messages,1996-11-01,1998-08-05
982,qosr,105 Messages,1997-03-26,1999-03-13
983,radius,1 Messages,1999-03-22,1999-03-22
984,rai,1451 Messages,2007-01-13,2016-09-01
985,raven,790 Messages,1999-10-28,2000-04-28
986,receipt,21 Messages,1995-10-06,1998-03-02
987,rescap,140 Messages,2006-12-22,2008-01-13
988,research-funding,339 Messages,2003-02-20,2004-05-24
989,rfcplusplus,340 Messages,2018-06-01,2018-07-18
990,rfid,237 Messages,2004-11-16,2006-01-16
991,rgchairs,175 Messages,2004-09-22,2006-01-28
992,ripv2,228 Messages,1992-01-27,1995-01-09
993,rmon,16 Messages,1991-12-06,1992-01-16
994,rmt,1296 Messages,2001-10-19,2016-08-30
995,rolc,911 Messages,1994-05-13,1996-06-13
996,rreq,246 Messages,1992-03-17,1996-05-23
997,rrg,7982 Messages,2007-01-07,2014-06-10
998,rrg-reboot,11 Messages,2014-03-05,2014-06-05
999,rsvp,531 Messages,1999-10-22,2008-01-30
1000,rtfm,6 Messages,2007-02-04,2007-03-22
1001,rucus,407 Messages,2008-02-15,2010-03-09
1002,rwhois,15 Messages,1995-12-07,1998-01-03
1003,sacred,217 Messages,2006-04-06,2008-01-31
1004,sam,582 Messages,2006-06-04,2013-12-17
1005,scale,28 Messages,2013-11-13,2014-07-20
1006,sctp-impl,476 Messages,2004-05-07,2008-01-31
1007,sdn,952 Messages,2012-05-10,2017-01-05
1008,seamoby,2572 Messages,2001-12-04,2004-06-07
1009,secauth,178 Messages,2013-12-11,2015-01-13
1010,secmech,136 Messages,2005-06-21,2007-08-27
1011,send,596 Messages,2006-05-29,2008-01-31
1012,sip,35678 Messages,1999-10-24,2011-12-07
1013,sip-overload,1087 Messages,2009-06-25,2015-02-02
1014,sip-security,136 Messages,2001-08-02,2002-12-08
1015,sipp,1097 Messages,1992-12-23,1996-02-12
1016,sipping-emergency,198 Messages,2003-02-11,2004-11-10
1017,sipping-tispan,393 Messages,2005-08-18,2006-05-17
1018,smds,257 Messages,1990-03-06,1990-12-19
1019,smtpext,3926 Messages,1991-01-14,1997-07-17
1020,snanau,343 Messages,1993-05-13,1997-09-18
1021,snmp,1510 Messages,1990-11-21,1994-06-21
1022,snmpconf,321 Messages,2006-06-05,2008-01-31
1023,snmpsec,575 Messages,1992-01-17,1993-09-01
1024,snmpv2,4624 Messages,1992-09-17,1997-06-06
1025,snmpv3,110 Messages,2007-04-25,2008-01-30
