,name,mes_count,end,start
665,webdav,726 Messages,2008-05-10,2019-09-04
666,webfinger,914 Messages,2012-12-04,2019-07-19
667,webpush,927 Messages,2014-05-02,2017-12-07
668,websec,2398 Messages,2010-10-08,2018-11-26
669,webtransport,14 Messages,2019-07-29,2019-08-15
670,wellknown-uri-review,207 Messages,2010-04-13,2019-07-10
671,wgchairs,16694 Messages,2001-10-10,2019-09-04
672,wgguide,3 Messages,2015-03-25,2015-09-02
673,woes,259 Messages,2011-02-17,2011-09-12
674,wpack,66 Messages,2018-05-12,2019-08-19
675,wrec,3429 Messages,2000-10-07,2018-06-01
676,xcon,1714 Messages,2003-07-01,2014-09-22
677,xml-mime,1178 Messages,1999-04-05,2013-11-04
678,xml2rfc,6514 Messages,2001-08-10,2019-09-03
679,xml2rfc-dev,739 Messages,2010-04-06,2019-09-03
680,xmpp,3649 Messages,2009-05-29,2019-07-22
681,xrblock,2167 Messages,2011-01-25,2019-08-15
682,yam,846 Messages,2009-05-26,2019-03-05
683,yang,483 Messages,2007-10-12,2013-07-21
684,yang-doctors,1820 Messages,2016-06-01,2019-08-30
685,yang-multicast,336 Messages,2015-04-28,2019-08-13
686,yc-announce,7 Messages,2017-07-11,2018-03-17
687,yot,83 Messages,2017-07-05,2019-08-14
688,zeroconf,947 Messages,2007-04-07,2018-04-13
689,2000,20 Messages,1997-08-05,1998-07-09
690,67attendees,81 Messages,2006-11-05,2007-02-28
691,68attendees,681 Messages,2007-02-24,2007-04-30
692,69attendees,334 Messages,2007-07-20,2007-08-24
693,6lowpan,3688 Messages,2005-01-25,2014-01-16
694,70attendees,153 Messages,2007-12-01,2007-12-14
695,71attendees,334 Messages,2008-02-29,2008-04-14
696,72attendees,766 Messages,2008-05-29,2008-09-17
697,73attendees,285 Messages,2008-11-17,2010-07-03
698,74all,15 Messages,2009-03-01,2009-04-03
699,74attendees,593 Messages,2009-03-09,2009-08-10
700,75all,29 Messages,2009-07-02,2009-07-31
701,75attendees,640 Messages,2009-07-15,2009-11-30
702,76all,22 Messages,2009-10-13,2009-12-10
703,76attendees,804 Messages,2009-10-08,2009-11-30
704,77all,20 Messages,2010-03-09,2010-04-13
705,77attendees,408 Messages,2010-02-22,2010-04-20
706,78all,37 Messages,2010-05-04,2010-10-01
707,78attendees,1146 Messages,2010-06-28,2010-12-01
708,79all,28 Messages,2010-09-15,2010-11-23
709,79attendees,1162 Messages,2010-09-14,2010-12-29
710,80all,18 Messages,2011-02-16,2011-04-10
711,80attendees,476 Messages,2011-01-29,2011-04-22
712,81-1st-timers,3 Messages,2011-07-02,2011-07-23
713,81all,28 Messages,2011-05-12,2011-09-20
714,81attendees,987 Messages,2011-06-23,2011-08-20
715,82-1st-timers,2 Messages,2011-11-08,2011-11-13
716,822ext,4545 Messages,1992-01-17,1997-08-10
717,82all,34 Messages,2011-09-08,2011-12-03
718,82attendees,523 Messages,2011-08-23,2011-11-29
719,83-1st-timers,3 Messages,2012-03-21,2012-03-25
720,84all,16 Messages,2012-07-18,2012-08-27
721,84attendees,525 Messages,2012-06-20,2012-08-16
722,85-1st-timers,4 Messages,2012-11-03,2012-11-05
723,85all,25 Messages,2012-10-09,2012-11-21
724,85attendees,476 Messages,2012-10-17,2012-11-12
725,86-1st-timers,2 Messages,2013-02-12,2013-03-08
726,86all,39 Messages,2013-02-20,2013-04-02
727,86attendees,885 Messages,2013-01-22,2013-06-20
728,87-1st-timers,6 Messages,2013-07-02,2013-07-28
729,87all,32 Messages,2013-07-05,2013-08-14
730,87attendees,1115 Messages,2013-05-27,2016-09-01
731,88-1st-timers,1 Messages,2013-11-03,2013-11-03
732,88all,17 Messages,2013-10-24,2014-03-04
733,88attendees,472 Messages,2013-09-20,2017-03-11
734,89all,36 Messages,2014-02-18,2014-03-20
735,89attendees,1364 Messages,2014-01-30,2017-03-22
736,89companions,4 Messages,2014-02-28,2014-03-05
737,90-1st-timers,3 Messages,2014-07-17,2015-04-20
738,90all,26 Messages,2014-07-09,2014-08-21
739,90attendees,467 Messages,2014-07-02,2014-08-01
740,90companions,4 Messages,2014-07-16,2014-07-24
741,91-1st-timers,4 Messages,2014-10-08,2015-04-20
742,91all,38 Messages,2014-09-22,2014-11-21
743,91attendees,404 Messages,2014-09-09,2015-01-06
744,91companions,75 Messages,2014-10-04,2014-11-15
745,92-1st-timers,5 Messages,2015-02-07,2015-04-20
746,92all,32 Messages,2014-12-16,2015-04-16
747,92attendees,202 Messages,2014-11-14,2015-03-27
748,92companions,2 Messages,2015-03-22,2015-03-22
