['draft-voyer-spring-sr-p2mp-policy', 'Replaced Internet-Draft (1 hit)', 5]
['rfc3869', 'RFC (1 hit)', 5]
['draft-ietf-cellar-flac', 'Active Internet-Draft (1 hit)', 3]
['draft-ietf-rsvp-policy-oops', 'Expired Internet-Draft (1 hit)', 2]
['rfc4339', 'RFC (1 hit)', 8]
['rfc4454', 'RFC (1 hit)', 6]
['draft-snijders-rpsl-via', 'Expired Internet-Draft (1 hit)', 4]
['draft-kadansky-tram', 'Expired Internet-Draft (1 hit)', 4]
['draft-ietf-roamops-actng', 'Expired Internet-Draft (1 hit)', 9]
['draft-dong-teas-enhanced-vpn', 'Replaced Internet-Draft (1 hit)', 11]
['draft-ietf-l3vpn-vpn-verification', 'Expired Internet-Draft (1 hit)', 1]
['draft-seite-mif-cm', 'Expired Internet-Draft (1 hit)', 3]
['draft-white-rppract', 'Expired Internet-Draft (1 hit)', 2]
['draft-abhattacharya-bess-l2vpn-ipv6-remotepe', 'Expired Internet-Draft (1 hit)', 5]
['rfc4103', 'RFC (1 hit)', 11]
['draft-cui-intarea-unified-v6-framework', 'Expired Internet-Draft (1 hit)', 2]
['draft-ietf-regext-rdap-partial-response', 'Active Internet-Draft (1 hit)', 9]
['draft-ietf-spring-segment-routing-msdc', 'Active Internet-Draft (1 hit)', 16]
['draft-meyer-mpls-soft-preemption', 'Expired Internet-Draft (1 hit)', 1]
['draft-turner-ccmib', 'Active Internet-Draft (1 hit)', 5]
['draft-vandevelde-v6ops-cpe-default-route-detection', 'Expired Internet-Draft (1 hit)', 1]
['rfc8002', 'RFC (1 hit)', 11]
['draft-bidulock-sigtran-m2ua-ss7test', 'Expired Internet-Draft (1 hit)', 4]
['draft-lozano-tmch-smd', 'Replaced Internet-Draft (1 hit)', 11]
['draft-arkko-acctreqlis', 'Expired Internet-Draft (1 hit)', 1]
['draft-wu-hokey-rfc5296bis', 'Expired Internet-Draft (1 hit)', 2]
['draft-haas-xiao-bfd-echo-path-mtu', 'Expired Internet-Draft (1 hit)', 2]
['draft-polk-reason-header-for-preemption', 'Expired Internet-Draft (1 hit)', 1]
['rfc8065', 'RFC (1 hit)', 8]
['draft-wallace-ta-mgmt-problem-statement', 'Expired Internet-Draft (1 hit)', 3]
['draft-aguado-opsawg-l3sm-l3nm', 'Active Internet-Draft (1 hit)', 3]
['draft-palme-newsmail', 'Expired Internet-Draft (1 hit)', 1]
['draft-ietf-nemo-v4-base', 'Expired Internet-Draft (1 hit)', 2]
['rfc3522', 'RFC (1 hit)', 10]
['draft-kaplan-sip-asserter-identity', 'Expired Internet-Draft (1 hit)', 2]
['draft-ietf-ippm-stamp', 'Active Internet-Drafts (3 hits)', 11]
faildraft-daniel-naptr
['draft-ietf-pkix-ocsp-valid', 'Expired Internet-Draft (1 hit)', 1]
['rfc5683', 'RFC (1 hit)', 12]
['draft-tschofenig-mip6-bootstrapping-pana', 'Expired Internet-Draft (1 hit)', 1]
['draft-kurtis-multihoming-longprefix', 'Expired Internet-Draft (1 hit)', 1]
['draft-kumaki-ccamp-mpls-gmpls-interwork-reqts', 'Replaced Internet-Draft (1 hit)', 8]
['draft-dondeti-msec-mikey-genext-oma-reg', 'Expired Internet-Draft (1 hit)', 1]
['draft-templin-6man-dhcpv6-ndopt', 'Active Internet-Draft (1 hit)', 9]
['draft-ietf-idr-bgp-flowspec-label', 'Expired Internet-Draft (1 hit)', 2]
['draft-saifullah-rohc-tcp-early-compression', 'Expired Internet-Draft (1 hit)', 1]
['rfc8439', 'RFC (1 hit)', 6]
['rfc8211', 'RFC (1 hit)', 9]
['draft-liu-pim-yang', 'Expired Internet-Draft (1 hit)', 2]
['draft-schulzrinne-ecrit-psap-callback', 'Replaced Internet-Draft (1 hit)', 18]
['rfc7081', 'RFC (1 hit)', 11]
['draft-keoh-tls-multicast-security', 'Expired Internet-Draft (1 hit)', 1]
['draft-nsbnpp-diffserv-udptcpaf', 'Expired Internet-Draft (1 hit)', 2]
['draft-francois-idr-rs-addpaths', 'Expired Internet-Draft (1 hit)', 2]
['draft-ietf-ccamp-transport-nbi-app-statement', 'Active Internet-Draft (1 hit)', 13]
['draft-levine-dnsextlang', 'Active Internet-Draft (1 hit)', 13]
['draft-oiwa-http-mutualauth-algo', 'Expired Internet-Draft (1 hit)', 3]
['draft-rescorla-rtcweb-security', 'Replaced Internet-Draft (1 hit)', 15]
['draft-ietf-radext-populating-eapidentity', 'Expired Internet-Draft (1 hit)', 2]
['draft-walton-bgp-route-oscillation-stop', 'Replaced Internet-Draft (1 hit)', 15]
['draft-monia-ips-ifcpenc', 'Expired Internet-Draft (1 hit)', 1]
['draft-bellato-ccamp-g709-framework', 'Expired Internet-Draft (1 hit)', 2]
['draft-ietf-core-dev-urn', 'Expired Internet-Draft (1 hit)', 10]
['draft-xhshi-dns-search-caching', 'Expired Internet-Draft (1 hit)', 1]
['draft-hares-i2rs-bgp-im', 'Expired Internet-Draft (1 hit)', 3]
['rfc1696', 'RFC (1 hit)', 2]
['draft-riechmann-multicast-mail', 'Expired Internet-Draft (1 hit)', 1]
['draft-jjb-mpls-rsvp-te-hsmp-lsp', 'Replaced Internet-Draft (1 hit)', 7]
['draft-kempf-svrloc-rfc2614bis', 'Expired Internet-Draft (1 hit)', 2]
['draft-ietf-opsec-framework', 'Expired Internet-Draft (1 hit)', 6]
['draft-johansson-sipcore-dane-sip', 'Expired Internet-Draft (1 hit)', 4]
['rfc3970', 'RFC (1 hit)', 10]
['draft-jaufeerally-nexthop-path-info', 'Expired Internet-Draft (1 hit)', 1]
['rfc7182', 'RFC (1 hit)', 8]
['draft-ietf-eos-oops', 'Expired Internet-Draft (1 hit)', 1]
['draft-fang-mpls-gmpls-security-framework', 'Expired Internet-Draft (1 hit)', 2]
faildraft-moriarty-ddos-mib
['draft-bergmann-bier-ccast', 'Replaced Internet-Draft (1 hit)', 5]
['draft-boldy-l2vpn-vplsloop-req', 'Expired Internet-Draft (1 hit)', 2]
faildraft-saifullah-rohc-ip-addr-comp-context-replication
['draft-eaton-oauth-bodyhash', 'Expired Internet-Draft (1 hit)', 1]
['draft-veikkolainen-sipping-app-config', 'Expired Internet-Draft (1 hit)', 1]
['draft-blair-rt-mobileipv6-seamoby', 'Expired Internet-Draft (1 hit)', 1]
['draft-lagutin-hip-pla', 'Expired Internet-Draft (1 hit)', 1]
['rfc4934', 'RFC (1 hit)', 7]
['draft-dharinigert-ccamp-opt-imp-lmp', 'Expired Internet-Draft (1 hit)', 1]
['draft-nunes-pppext-mcp', 'Expired Internet-Draft (1 hit)', 1]
['rfc7868', 'RFC (1 hit)', 7]
['draft-shariyar-wop-uri', 'Expired Internet-Draft (1 hit)', 2]
['rfc2929', 'RFC (1 hit)', 5]
faildraft-apple-schema-proc-list
['draft-bao-pwe3-pw-transfer', 'Expired Internet-Drafts (2 hits)', 4]
['draft-palmer-signature-link-relation', 'Expired Internet-Draft (1 hit)', 1]
['rfc4151', 'RFC (1 hit)', 9]
['draft-gurbani-sip-tls-use', 'Expired Internet-Draft (1 hit)', 1]
['rfc8403', 'RFC (1 hit)', 20]
['rfc7275', 'RFCs (2 hits)', 20]
['draft-burgin-kerberos-aes-cbc-hmac-sha2', 'Expired Internet-Draft (1 hit)', 3]
['draft-seokung-msec-mikey-capability-discovery', 'Expired Internet-Draft (1 hit)', 1]
['draft-cel-nfsv4-comp-stor-reqs', 'Active Internet-Draft (1 hit)', 2]
['rfc6691', 'RFC (1 hit)', 7]
['draft-liu-pim-mofrr-tilfa', 'Active Internet-Draft (1 hit)', 1]
['draft-gont-6man-flowlabel-security', 'Expired Internet-Draft (1 hit)', 4]
faildraft-smith-ldap-psearch
['draft-ietf-rtgwg-ipfrr-ip-mib', 'Expired Internet-Draft (1 hit)', 11]
['draft-costa-6man-dad-proxy', 'Replaced Internet-Draft (1 hit)', 10]
['draft-barnes-xcon-ccmp', 'Expired Internet-Draft (1 hit)', 5]
['draft-sanz-rfc1032-historic', 'Expired Internet-Draft (1 hit)', 1]
['draft-linsner-geopriv-adminspecific', 'Expired Internet-Draft (1 hit)', 3]
['draft-ketant-ospf-reverse-metric', 'Replaced Internet-Draft (1 hit)', 4]
['draft-byrne-ldap-alias', 'Expired Internet-Draft (1 hit)', 1]
